id,title,link,picture,categories
25895,Heißes Kakaogetränk grande,https://www.mcdonalds.com/de/de-de/product/heies-kakaogetrnk-grande-200103.html,https://www.mcdonalds.com/is/image/content/dam/de/nutrition/items/icons/desktop/7187_thumb.jpg?$Category_Desktop$,"['Frühstück', 'Getränke']"
26005,"Orangensaft 0,25l",https://www.mcdonalds.com/de/de-de/product/orangensaft-0-25l-200108.html,https://www.mcdonalds.com/is/image/content/dam/de/nutrition/items/icons/desktop/7250_thumb.jpg?$Category_Desktop$,"['Frühstück', 'Getränke']"
26116,"ViO Mineralwasser Medium 0,5l",https://www.mcdonalds.com/de/de-de/product/vio-mineralwasser-medium-05l-200119.html,https://www.mcdonalds.com/is/image/content/dam/de/nutrition/items/icons/desktop/7360_thumb.jpg?$Category_Desktop$,['Getränke']
26228,"ViO Mineralwasser Still 0,5l",https://www.mcdonalds.com/de/de-de/product/vio-mineralwasser-still-05l-200120.html,https://www.mcdonalds.com/is/image/content/dam/de/nutrition/items/icons/desktop/7362_thumb.jpg?$Category_Desktop$,['Getränke']
26341,"Coca-Cola Classic 0,5l",https://www.mcdonalds.com/de/de-de/product/coca-cola-classic-05l-200082.html,https://www.mcdonalds.com/is/image/content/dam/de/nutrition/items/icons/desktop/7020_thumb.jpg?$Category_Desktop$,['Getränke']
26455,"Coca-Cola Classic 0,4l",https://www.mcdonalds.com/de/de-de/product/coca-cola-classic-04l-200081.html,https://www.mcdonalds.com/is/image/content/dam/de/nutrition/items/icons/desktop/7010_thumb.jpg?$Category_Desktop$,['Getränke']
26570,"Coca-Cola Classic 0,25l",https://www.mcdonalds.com/de/de-de/product/coca-cola-classic-025l-200080.html,https://www.mcdonalds.com/is/image/content/dam/de/nutrition/items/icons/desktop/7000_thumb.jpg?$Category_Desktop$,['Getränke']
26686,"Coca-Cola Light Taste 0,5l",https://www.mcdonalds.com/de/de-de/product/coca-cola-light-taste-05l-200091.html,https://www.mcdonalds.com/is/image/content/dam/de/nutrition/items/icons/desktop/7110_thumb.jpg?$Category_Desktop$,['Getränke']
26803,"Coca-Cola Light Taste 0,4l",https://www.mcdonalds.com/de/de-de/product/coca-cola-light-taste-04l-200090.html,https://www.mcdonalds.com/is/image/content/dam/de/nutrition/items/icons/desktop/7100_thumb.jpg?$Category_Desktop$,['Getränke']
26921,"Coca-Cola Light Taste 0,25l",https://www.mcdonalds.com/de/de-de/product/coca-cola-light-taste-025l-200089.html,https://www.mcdonalds.com/is/image/content/dam/de/nutrition/items/icons/desktop/7090_thumb.jpg?$Category_Desktop$,['Getränke']
27040,"Coca-Cola Zero Sugar 0,5l",https://www.mcdonalds.com/de/de-de/product/coca-cola-zero-sugar-05l-200115.html,https://www.mcdonalds.com/is/image/content/dam/de/nutrition/items/icons/desktop/7322_thumb.jpg?$Category_Desktop$,['Getränke']
27160,"Coca-Cola Zero Sugar 0,4l",https://www.mcdonalds.com/de/de-de/product/coca-cola-zero-sugar-04l-200114.html,https://www.mcdonalds.com/is/image/content/dam/de/nutrition/items/icons/desktop/7321_thumb.jpg?$Category_Desktop$,['Getränke']
27281,"Coca-Cola Zero Sugar 0,25l",https://www.mcdonalds.com/de/de-de/product/coca-cola-zero-sugar-025l-200113.html,https://www.mcdonalds.com/is/image/content/dam/de/nutrition/items/icons/desktop/7320_thumb.jpg?$Category_Desktop$,['Getränke']
27403,"Fanta 0,5l",https://www.mcdonalds.com/de/de-de/product/fanta-0-5l-200085.html,https://www.mcdonalds.com/is/image/content/dam/de/nutrition/items/icons/desktop/7050_thumb.jpg?$Category_Desktop$,['Getränke']
27526,"Fanta 0,4l",https://www.mcdonalds.com/de/de-de/product/fanta-04l-200084.html,https://www.mcdonalds.com/is/image/content/dam/de/nutrition/items/icons/desktop/7040_thumb.jpg?$Category_Desktop$,['Getränke']
27650,"Fanta 0,25l",https://www.mcdonalds.com/de/de-de/product/fanta-025l-200083.html,https://www.mcdonalds.com/is/image/content/dam/de/nutrition/items/icons/desktop/7030_thumb.jpg?$Category_Desktop$,['Getränke']
27775,"Sprite 0,5l",https://www.mcdonalds.com/de/de-de/product/sprite-0-5l.html,https://www.mcdonalds.com/is/image/content/dam/de/nutrition/items/icons/desktop/7080_thumb.jpg?$Category_Desktop$,['Getränke']
27901,"Sprite 0,4l",https://www.mcdonalds.com/de/de-de/product/sprite-04l-200087.html,https://www.mcdonalds.com/is/image/content/dam/de/nutrition/items/icons/desktop/7070_thumb.jpg?$Category_Desktop$,['Getränke']
28028,"Sprite 0,25l",https://www.mcdonalds.com/de/de-de/product/sprite-025l-200086.html,https://www.mcdonalds.com/is/image/content/dam/de/nutrition/items/icons/desktop/7060_thumb.jpg?$Category_Desktop$,['Getränke']
28156,"Lipton Ice Tea Peach 0,5l",https://www.mcdonalds.com/de/de-de/product/lipton-ice-tea-peach-05l-200118.html,https://www.mcdonalds.com/is/image/content/dam/de/nutrition/items/icons/desktop/7332_thumb.jpg?$Category_Desktop$,['Getränke']
28285,"Lipton Ice Tea Peach 0,4l",https://www.mcdonalds.com/de/de-de/product/lipton-ice-tea-peach-04l-200117.html,https://www.mcdonalds.com/is/image/content/dam/de/nutrition/items/icons/desktop/7331_thumb.jpg?$Category_Desktop$,['Getränke']
28415,"Lipton Ice Tea Peach 0,25l",https://www.mcdonalds.com/de/de-de/product/lipton-ice-tea-peach-025l-200116.html,https://www.mcdonalds.com/is/image/content/dam/de/nutrition/items/icons/desktop/7330_thumb.jpg?$Category_Desktop$,['Getränke']
28546,"Red Bull 0,25l",https://www.mcdonalds.com/de/de-de/product/red-bull-025l-7378.html,https://www.mcdonalds.com/is/image/content/dam/de/nutrition/items/icons/desktop/7378_thumb.jpg?$Category_Desktop$,['Getränke']
28678,"Adelholzener Apfelschorle 0,5l",https://www.mcdonalds.com/de/de-de/product/adelholzener-apfelschorle-05l-7344.html,https://www.mcdonalds.com/is/image/content/dam/de/nutrition/items/icons/desktop/7344_thumb.jpg?$Category_Desktop$,['Getränke']
28811,"Bio Schorle Apfel-Birne 0,2l",https://www.mcdonalds.com/de/de-de/product/bio-schorle-apfel-birne-02l-7289.html,https://www.mcdonalds.com/is/image/content/dam/de/nutrition/items/icons/desktop/7289_thumb.jpg?$Category_Desktop$,['Getränke']
